567354612,1
567354612,2
567354612,10
567354612,11
567354612,12
567354612,15
567354612,7
567354612,9
567354612,3
567354612,4
567354612,5
552455318,2
552455318,14
550156548,1
550156548,12
390487451,3
390487451,13
390487451,14
274878974,10
274878974,12
355548984,8
355548984,9
310454876,8
310454876,9
548977562,7
142519864,1
142519864,11
142519864,12
142519864,10
142519864,3
142519864,2
142519864,13
142519864,7
269734834,1
269734834,2
269734834,3
269734834,4
269734834,5
269734834,6
269734834,7
269734834,8
269734834,9
269734834,10
269734834,11
269734834,12
269734834,13
269734834,14
269734834,15
552455318,7
556784565,5
556784565,2
556784565,3
573284895,3
573284895,4
573284895,5
574489456,8
574489456,6
574489457,7
242518965,2
242518965,10
141582651,2
141582651,10
141582651,12
011564812,2
011564812,10
356187925,6
159542516,5
159542516,7
090873519,6
